Vol,No.,day,mo,year,Collection,Book ID,JP2 ,start page,Notes (see orig file for page links),Derivative JPEG
38,2,,4,1933,MOMA,picturepl39stre,picturepl39stre_0227.jp2,https://archive.org/stream/picturepl39stre#page/n225/mode/2up,,Picture-Play_vol38_no2_dd-4-1933_sml.jpg
38,3,,5,1933,MOMA,picturepl39stre,picturepl39stre_0303.jp2,https://archive.org/stream/picturepl39stre#page/n301/mode/2up,pic cut,Picture-Play_vol38_no3_dd-5-1933_sml.jpg
38,4,,6,1933,MOMA,picturepl39stre,picturepl39stre_0381.jp2,https://archive.org/stream/picturepl39stre#page/n379/mode/2up,,Picture-Play_vol38_no4_dd-6-1933_sml.jpg
38,5,,7,1933,MOMA,picturepl39stre,picturepl39stre_0453.jp2,https://archive.org/stream/picturepl39stre#page/n451/mode/2up,pic cut,Picture-Play_vol38_no5_dd-7-1933_sml.jpg
38,6,,8,1933,MOMA,picturepl39stre,picturepl39stre_0525.jp2,https://archive.org/stream/picturepl39stre#page/n523/mode/2up,pic cut,Picture-Play_vol38_no6_dd-8-1933_sml.jpg
39,1,,9,1933,MOMA,picturepl39stre,picturepl39stre_0599.jp2,https://archive.org/stream/picturepl39stre#page/n597/mode/2up,pic cut,Picture-Play_vol39_no1_dd-9-1933_sml.jpg
39,2,,10,1933,MOMA,picturepl39stre,picturepl39stre_0671.jp2,https://archive.org/stream/picturepl39stre#page/n669/mode/2up,pic cut,Picture-Play_vol39_no2_dd-10-1933_sml.jpg
39,3,,11,1933,MOMA,picturepl39stre,picturepl39stre_0745.jp2,https://archive.org/stream/picturepl39stre#page/n743/mode/2up,,Picture-Play_vol39_no3_dd-11-1933_sml.jpg
39,4,,12,1933,MOMA,picturepl39stre,picturepl39stre_0817.jp2,https://archive.org/stream/picturepl39stre#page/n815/mode/2up,,Picture-Play_vol39_no4_dd-12-1933_sml.jpg
39,5,,1,1934,MOMA,pictureplay3941stre,pictureplay3941stre_0005.jp2,https://archive.org/stream/pictureplay3941stre#page/n3/mode/2up,,Picture-Play_vol39_no5_dd-1-1934_sml.jpg
39,6,,2,1934,MOMA,pictureplay3941stre,pictureplay3941stre_0071.jp2,https://archive.org/stream/pictureplay3941stre#page/n69/mode/2up,,Picture-Play_vol39_no6_dd-2-1934_sml.jpg
40,1,,3,1934,MOMA,pictureplay3941stre,pictureplay3941stre_0135.jp2,https://archive.org/stream/pictureplay3941stre#page/n133/mode/2up,,Picture-Play_vol40_no1_dd-3-1934_sml.jpg
40,2,,4,1934,MOMA,pictureplay3941stre,pictureplay3941stre_0201.jp2,https://archive.org/stream/pictureplay3941stre#page/n199/mode/2up,,Picture-Play_vol40_no2_dd-4-1934_sml.jpg
40,3,,5,1934,MOMA,pictureplay3941stre,pictureplay3941stre_0269.jp2,https://archive.org/stream/pictureplay3941stre#page/n267/mode/2up,pic cut,Picture-Play_vol40_no3_dd-5-1934_sml.jpg
40,4,,6,1934,MOMA,pictureplay3941stre,pictureplay3941stre_0335.jp2,https://archive.org/stream/pictureplay3941stre#page/n333/mode/2up,,Picture-Play_vol40_no4_dd-6-1934_sml.jpg
40,5,,7,1934,MOMA,pictureplay3941stre,pictureplay3941stre_0399.jp2,https://archive.org/stream/pictureplay3941stre#page/n397/mode/2up,pic cut,Picture-Play_vol40_no5_dd-7-1934_sml.jpg
